MSOA21CD,MSOA21NM,Log10-tot,Log10-VSO,Log10-ASB,Log10-Bur,Mixed tenures,Owned & Private,More private rent,More owned,More social rent,Log10-vac,Most deprived,Mixed extremes,Mixed less deprived,Mixed most deprived,Less deprived,Mainly flats,Mainly houses,Mixed types,Log10-price
E02000001,City of London 001,2.857743266058006,2.072600646374388,2.0636281834970185,1.4163443331108765,0.0,0.0,1.0,0.0,0.0,1.5171477658614922,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.091750899080614
E02000002,Barking and Dagenham 001,1.996036670305662,1.4924554877262066,1.399701434489308,1.0615097075422957,0.0,0.0,0.0,0.0,1.0,0.4385158093786903,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.640018481887995
E02000003,Barking and Dagenham 002,2.0234179705045614,1.4259499928931103,1.4610363205051211,1.2433850196509186,0.0,1.0,0.0,0.0,0.0,0.6437310980888347,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.636683417125857
E02000004,Barking and Dagenham 003,1.761780580912398,1.3627284218709923,1.0504174157973225,0.8524145989209425,0.0,0.0,0.0,1.0,0.0,0.51959276883311,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.6717395336167016
E02000005,Barking and Dagenham 004,1.988873823804188,1.3856046591236852,1.4197453681071843,1.2433177980922636,0.0,1.0,0.0,0.0,0.0,0.572992975205775,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.660132828032162
E02000007,Barking and Dagenham 006,2.0816761391188687,1.6027844193222949,1.51716906326926,1.1609220923544468,0.0,0.0,0.0,0.0,1.0,0.5033447731766528,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6119558475774047
E02000008,Barking and Dagenham 007,1.9011749536674487,1.3732086416331792,1.3011606301910312,1.119549378473227,0.0,0.0,0.0,0.0,1.0,0.5216059533400971,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6475894862061664
E02000009,Barking and Dagenham 008,1.837833802578976,1.309498401505209,1.2545857301845205,0.9294130569095967,0.0,0.0,0.0,0.0,1.0,0.3568465274401515,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.650903861034711
E02000010,Barking and Dagenham 009,1.885688172132272,1.347569460295197,1.2925218939642915,1.156551101229751,0.0,0.0,0.0,0.0,1.0,0.4108376933514058,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.654592333542692
E02000011,Barking and Dagenham 010,1.9749406478577292,1.465986222923778,1.3424507007249162,1.019646954901467,0.0,1.0,0.0,0.0,0.0,0.725247538136499,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.657298629612599
E02000012,Barking and Dagenham 011,1.8766365624882544,1.3136942669261478,1.2271519212321538,1.2361914358136998,0.0,0.0,0.0,1.0,0.0,0.6020599913279624,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.6627531966852978
E02000013,Barking and Dagenham 012,1.93013434718681,1.4205378139146778,1.2915101952219552,1.1310291961566574,0.0,0.0,0.0,0.0,1.0,0.3411395425017696,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.646890288525536
E02000014,Barking and Dagenham 013,2.1524220418588262,1.614680658959313,1.4886682642469495,1.333093215048602,0.0,0.0,0.0,0.0,1.0,0.7207603391397999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.666538913303284
E02000015,Barking and Dagenham 014,1.9585544648895463,1.4393423022215484,1.3969877241299018,1.081458902414943,0.0,0.0,0.0,0.0,1.0,0.7935903528089329,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.612151467204947
E02000016,Barking and Dagenham 015,2.448972362369336,1.7743079113018834,1.800101725719313,1.2194784935215413,1.0,0.0,0.0,0.0,0.0,0.7588916757116145,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6335572476989175
E02000017,Barking and Dagenham 016,2.051200566529725,1.484788695672198,1.5047774563635283,1.2056751355019255,0.0,0.0,1.0,0.0,0.0,0.7376972602221328,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6430842551488745
E02000018,Barking and Dagenham 017,2.045298162668145,1.4804748967272503,1.4340419869295018,1.1200964698313949,0.0,0.0,0.0,0.0,1.0,0.4978330924151453,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.65463281704216
E02000019,Barking and Dagenham 018,2.065492514975906,1.5027721379070813,1.4026569850238135,1.249190996530071,0.0,0.0,0.0,0.0,1.0,0.5427969741148451,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.629579531605997
E02000020,Barking and Dagenham 019,1.9745768254296896,1.3780451799550983,1.4483029981917146,1.061641127943194,0.0,0.0,0.0,0.0,1.0,0.5759041906674232,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.6429511888656143
E02000021,Barking and Dagenham 020,2.0675975877511443,1.4517493119375486,1.4265134885214752,1.2846931993884552,0.0,1.0,0.0,0.0,0.0,0.7737136774078254,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6581920183967394
E02000022,Barking and Dagenham 021,2.0581332958745904,1.5038048643330204,1.3770898696989176,1.1011859056285596,1.0,0.0,0.0,0.0,0.0,0.6600889799263722,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.7031907796132666
E02000023,Barking and Dagenham 022,2.0114019890328803,1.4856962558573623,1.4749280724409677,1.0440485850107044,0.0,0.0,0.0,0.0,1.0,0.6925659775776684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.62299331759711
E02000024,Barnet 001,1.915445639476002,1.1774970444796078,1.364053737213454,1.01594173787569,0.0,0.0,0.0,1.0,0.0,0.5165440884448754,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.8084828996729865
E02000025,Barnet 002,2.009187533327235,1.478498422334715,1.43811066122357,1.101028689482466,0.0,1.0,0.0,0.0,0.0,0.5507116958551889,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.78798338360646
E02000026,Barnet 003,1.792702321116857,1.0937323167808377,1.228068827729518,1.242098095224439,0.0,0.0,0.0,1.0,0.0,0.4084295169909639,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.80597033073818
E02000027,Barnet 004,1.873369972626874,1.3480851575806578,1.3124844828394338,1.0366729625988955,0.0,1.0,0.0,0.0,0.0,0.3429671982552341,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.784339509193655
E02000028,Barnet 005,1.9035866073798535,1.1746533796663918,1.266212674290347,0.935698035377563,0.0,1.0,0.0,0.0,0.0,0.5048768003108698,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.801596138502767
E02000029,Barnet 006,1.979511923975656,1.2805419196396373,1.3779263122490957,1.011281010409689,0.0,1.0,0.0,0.0,0.0,0.3933442569828885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7839990780767696
E02000030,Barnet 007,1.873159296254832,1.2511282239962496,1.3151455287795686,1.1427857915939497,0.0,0.0,0.0,1.0,0.0,0.6170592034407858,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.8616369574777294
E02000031,Barnet 008,1.925549281045409,1.289966255573783,1.330871243340046,1.1930803815309408,0.0,0.0,0.0,1.0,0.0,0.7515707684464035,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.810948555334092
E02000032,Barnet 009,1.8284958245134757,1.1509866381570848,1.3828019827346307,1.108679403007001,0.0,0.0,0.0,1.0,0.0,0.323228913881858,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.826471315653597
