MSOA21CD,MSOA21NM,Log10-tot,Log10-VSO,Log10-ASB,Log10-Bur
E02000001,City of London 001,2.857743266058006,2.072600646374388,2.0636281834970185,1.4163443331108765
E02000002,Barking and Dagenham 001,1.996036670305662,1.4924554877262066,1.399701434489308,1.0615097075422957
E02000003,Barking and Dagenham 002,2.0234179705045614,1.4259499928931105,1.4610363205051211,1.2433850196509186
E02000004,Barking and Dagenham 003,1.7617805809123979,1.3627284218709925,1.0504174157973223,0.8524145989209425
E02000005,Barking and Dagenham 004,1.9888738238041879,1.3856046591236852,1.4197453681071845,1.2433177980922636
E02000007,Barking and Dagenham 006,2.0816761391188687,1.6027844193222947,1.51716906326926,1.1609220923544468
E02000008,Barking and Dagenham 007,1.9011749536674492,1.3732086416331792,1.3011606301910312,1.1195493784732273
E02000009,Barking and Dagenham 008,1.8378338025789756,1.3094984015052087,1.2545857301845205,0.9294130569095967
E02000010,Barking and Dagenham 009,1.8856881721322716,1.347569460295197,1.2925218939642917,1.156551101229751
E02000011,Barking and Dagenham 010,1.9749406478577294,1.4659862229237781,1.3424507007249162,1.019646954901467
E02000012,Barking and Dagenham 011,1.8766365624882544,1.3136942669261478,1.2271519212321538,1.2361914358136998
E02000013,Barking and Dagenham 012,1.93013434718681,1.4205378139146778,1.2915101952219552,1.1310291961566574
E02000014,Barking and Dagenham 013,2.1524220418588262,1.614680658959313,1.4886682642469495,1.333093215048602
E02000015,Barking and Dagenham 014,1.9585544648895463,1.4393423022215484,1.3969877241299018,1.081458902414943
E02000016,Barking and Dagenham 015,2.4489723623693362,1.7743079113018834,1.800101725719313,1.2194784935215413
E02000017,Barking and Dagenham 016,2.051200566529725,1.484788695672198,1.5047774563635283,1.2056751355019255
E02000018,Barking and Dagenham 017,2.0452981626681455,1.4804748967272503,1.4340419869295018,1.1200964698313947
E02000019,Barking and Dagenham 018,2.065492514975906,1.5027721379070813,1.4026569850238135,1.249190996530071
E02000020,Barking and Dagenham 019,1.9745768254296898,1.3780451799550983,1.4483029981917146,1.061641127943194
E02000021,Barking and Dagenham 020,2.0675975877511443,1.4517493119375486,1.4265134885214752,1.2846931993884552
E02000022,Barking and Dagenham 021,2.0581332958745904,1.5038048643330204,1.3770898696989176,1.1011859056285596
E02000023,Barking and Dagenham 022,2.0114019890328803,1.4856962558573623,1.4749280724409677,1.0440485850107044
E02000024,Barnet 001,1.915445639476002,1.1774970444796078,1.364053737213454,1.01594173787569
E02000025,Barnet 002,2.009187533327235,1.478498422334715,1.43811066122357,1.1010286894824661
E02000026,Barnet 003,1.7927023211168567,1.0937323167808377,1.228068827729518,1.242098095224439
E02000027,Barnet 004,1.873369972626874,1.3480851575806578,1.3124844828394338,1.0366729625988957
E02000028,Barnet 005,1.9035866073798537,1.1746533796663918,1.266212674290347,0.935698035377563
E02000029,Barnet 006,1.979511923975656,1.2805419196396373,1.3779263122490957,1.011281010409689
E02000030,Barnet 007,1.873159296254832,1.2511282239962496,1.3151455287795686,1.1427857915939497
E02000031,Barnet 008,1.925549281045409,1.289966255573783,1.330871243340046,1.1930803815309408
E02000032,Barnet 009,1.8284958245134755,1.1509866381570848,1.3828019827346307,1.108679403007001
E02000033,Barnet 010,1.9653676500853157,1.3304738056359275,1.3304738056359275,1.1092388915326046
E02000034,Barnet 011,1.7736788881335712,1.1086674847731635,1.1988441151222515,0.8261147596312085
E02000035,Barnet 012,1.9719038446036574,1.186681895441639,1.6378167960444765,0.9054124229109748
E02000036,Barnet 013,1.8770856493934278,1.2131942924982022,1.332760245342641,1.1145747672213895
E02000037,Barnet 014,1.8745825260859341,1.218164872435379,1.3339602296038093,1.0991778744638785
E02000038,Barnet 015,1.9785660279760393,1.397409709609789,1.4134371550439397,1.2050024315572005
E02000039,Barnet 016,1.9984883573951762,1.2074271909542944,1.4912740647755367,1.1263123628938743
E02000040,Barnet 017,1.8681847303226338,1.2021834595037835,1.4006509396086966,1.2169362514345536
E02000041,Barnet 018,2.1792829389044885,1.4969500516489624,1.6749801285760304,1.2477036671955766
E02000042,Barnet 019,1.942892317890679,1.320669728873793,1.269292822808967,1.1320841922400497
E02000043,Barnet 020,1.706365600931501,1.0485815240816738,1.1577259935067419,0.9888839950945387
E02000044,Barnet 021,1.9038308933107984,1.3572882298326674,1.268445838572644,1.0652286650013636
E02000045,Barnet 022,2.014335530955803,1.2985731719652538,1.5964598886588934,0.9789115940614027
E02000046,Barnet 023,2.0905514529977025,1.4060509546823559,1.592646592354748,1.2725729033143243
E02000047,Barnet 024,2.1763843250509463,1.5815298128609452,1.785880251601823,1.262509180502291
E02000048,Barnet 025,1.9702113722120351,1.3009035205433757,1.4479341429307702,1.3688282994372718
E02000049,Barnet 026,2.0702061617558654,1.3655310575539004,1.6620512049880323,1.0710255927297385
E02000050,Barnet 027,1.9665678319476614,1.2783660110280375,1.487169201889313,1.2237140115326037
E02000051,Barnet 028,1.8494695737095441,1.2170655659223966,1.331887168239155,1.1970125996818675
E02000052,Barnet 029,1.9097860490724692,1.3184499231362798,1.3510883357656363,1.1869869316170891
E02000054,Barnet 031,2.022474709165384,1.4187972318638025,1.5289009385245655,1.2676062401770316
E02000055,Barnet 032,2.087807476260218,1.4426625842329073,1.5679342411196056,1.331053458237291
E02000056,Barnet 033,1.8782441857322298,1.057448680212054,1.3372893768060972,1.2347928376976338
E02000057,Barnet 034,1.8825485070926573,1.2924844143718612,1.2232114569844854,1.3533700983624426
E02000058,Barnet 035,1.9101286779080013,1.0985121107682339,1.4562697308811423,1.1335624639639696
E02000059,Barnet 036,2.0030336734237792,1.3174946565710086,1.3882544161017396,1.1651832144915535
E02000060,Barnet 037,1.9297835680170075,1.2835830246355104,1.4396571701693046,1.2531247029058377
E02000061,Barnet 038,2.120336026800063,1.448277828649945,1.5492692380360833,1.3244932196803334
E02000062,Barnet 039,2.4909878116182145,1.6668094062865273,1.84914961461921,1.4271602130796999
E02000063,Barnet 040,2.11328326238863,1.334685436662909,1.80731549849411,1.3214960731148233
E02000064,Barnet 041,1.854067930850726,1.238072161579471,1.2601596915423092,1.163205008614508
E02000065,Bexley 001,1.9192527541237745,1.4440746546901142,1.3586444593654878,0.89575046773177
E02000066,Bexley 002,2.012182649846283,1.4826035762920289,1.3810651591019014,0.8843321140628645
E02000067,Bexley 003,2.007221164604794,1.392842948997297,1.4855970022341958,1.0745847629157537
E02000068,Bexley 004,2.2668123810112237,1.7176409350228183,1.6463950162260952,1.3109288739282015
E02000069,Bexley 005,1.888652702232531,1.4068108088402842,1.317545987522129,0.9328547211146048
E02000070,Bexley 006,1.7690703393392413,1.1934461636830793,1.2910395670475738,0.6898379347955469
E02000071,Bexley 007,1.9103326069364261,1.4311183627109199,1.3138051042084247,0.7888497826695141
E02000072,Bexley 008,1.9753690816142657,1.500387212905155,1.3237620945543405,0.9816359646895393
E02000073,Bexley 009,1.5575726301157717,0.9762232005519815,0.9498942618296323,0.7335758584957947
E02000074,Bexley 010,1.9482530437494776,1.4760207091217963,1.3055644899621919,0.9477630962603988
E02000075,Bexley 011,1.6225441346488088,1.1048050290208824,1.0739284625478125,0.44356347840711485
E02000077,Bexley 013,1.726677147409238,1.1915639457118887,1.2310724869955623,0.6674172801654787
E02000078,Bexley 014,1.5672798274615503,0.9880827190930922,0.9284970291088481,0.6526699846830496
E02000079,Bexley 015,2.2840949241519994,1.6075290294176,1.7087844375851076,1.0710354760869347
E02000080,Bexley 016,1.8019972434158638,1.1951534722118862,1.261314208267,0.6808391297503007
E02000081,Bexley 017,1.784160964258047,1.3337226171192786,1.2014435173452354,0.750994848431857
E02000082,Bexley 018,1.6608876467334748,0.9901982039182984,1.1535151749375507,0.8325595833516368
E02000083,Bexley 019,2.057121713949756,1.4570895604627887,1.545830784393418,0.9662023361973122
