MSOA 2021 Code,Total
E02000001,8689
E02000002,8366
E02000003,11588
E02000004,6767
E02000005,11070
E02000007,10183
E02000008,13296
E02000009,12798
E02000010,9433
E02000011,7045
E02000012,11558
E02000013,9455
E02000014,9835
E02000015,8218
E02000016,10442
E02000017,9039
E02000018,9460
E02000019,9615
E02000020,14070
E02000021,8764
E02000022,7680
E02000023,8007
E02006799,12025
E02000024,10898
E02000025,8606
E02000026,6447
E02000027,9691
E02000028,6555
E02000029,9592
E02000030,9535
E02000031,8309
E02000032,7911
E02000033,8924
E02000034,9110
E02000035,8588
E02000036,11201
E02000037,10892
E02000038,10653
E02000039,7195
E02000040,9103
E02000041,9490
E02000042,11565
E02000043,7511
E02000044,8785
E02000045,10459
E02000046,6949
E02000047,12345
E02000048,10303
E02000049,10430
E02000050,10325
E02000051,9221
E02000052,9847
E02000054,7663
E02000055,11764
E02000056,9199
E02000057,7955
E02000058,10282
E02000059,11698
E02000060,11555
E02000061,8300
E02000062,6935
E02000063,7496
E02000064,6647
E02006953,8992
E02006954,10029
E02000065,8057
E02000066,9315
E02000067,10199
E02000068,8104
E02000069,7172
E02000070,8135
E02000071,7671
E02000072,12859
E02000073,10774
E02000074,8956
E02000075,8013
E02000077,8106
E02000078,8017
E02000079,8838
E02000080,10081
E02000081,8301
E02000082,9410
E02000083,11240
E02000084,11096
E02000085,8012
E02000086,7141
E02000087,8223
E02000088,7797
E02000089,7911
E02000090,9632
E02000091,10211
E02000092,6743
E02006785,6623
E02000093,11866
E02000094,10350
E02000095,10469
E02000096,7716
E02000097,9496
E02000098,8732
E02000099,9495
E02000100,8354
E02000101,9972
E02000102,8286
E02000103,9932
E02000104,7484
E02000105,9815
E02000106,10406
E02000107,10945
E02000108,7220
E02000110,8180
E02000111,11272
E02000112,11809
E02000113,9598
E02000114,9016
E02000115,8561
E02000116,8532
E02000117,12788
E02000118,11180
E02000119,10671
E02000120,8911
E02000121,12194
E02000122,8139
E02000123,13526
E02000124,9885
E02000125,10003
E02000126,8173
E02006955,7431
E02006956,8841
E02000127,9292
E02000128,7783
E02000130,8401
E02000131,10390
E02000132,9853
E02000133,10732
E02000134,11776
E02000135,9850
E02000136,5688
E02000137,8373
E02000138,8484
E02000139,7691
E02000140,8758
E02000141,7224
E02000142,8755
E02000144,9986
E02000145,8851
E02000146,9773
E02000147,8274
E02000148,6753
E02000149,8188
E02000150,8513
E02000151,7596
E02000152,7997
E02000153,8116
E02000154,8572
