MSOA21CD,Owned-Outright,Own-mortgage,Own-Share,Social-rent,Private-rent,Rent-free
E02000002,507.00,729.00,10.00,1199.00,417.00,8.00
E02000003,942.00,1244.00,24.00,522.00,1197.00,1.00
E02000004,649.00,894.00,16.00,373.00,376.00,1.00
E02000005,582.00,1300.00,47.00,912.00,779.00,8.00
E02000007,474.00,979.00,60.00,1552.00,602.00,9.00
E02000008,683.00,1341.00,45.00,1642.00,903.00,11.00
E02000009,472.00,1074.00,79.00,1470.00,1154.00,5.00
E02000010,484.00,961.00,49.00,1119.00,712.00,4.00
E02000011,584.00,725.00,14.00,351.00,679.00,0.00
E02000012,861.00,1355.00,10.00,402.00,660.00,0.00
E02000013,473.00,855.00,21.00,1206.00,689.00,11.00
E02000014,502.00,905.00,18.00,1207.00,751.00,5.00
E02000015,375.00,561.00,67.00,1432.00,593.00,4.00
E02000016,216.00,510.00,178.00,1313.00,1582.00,11.00
E02000017,579.00,707.00,12.00,296.00,1171.00,2.00
E02000018,420.00,859.00,19.00,1221.00,706.00,7.00
E02000019,405.00,931.00,75.00,1142.00,652.00,3.00
E02000020,530.00,1346.00,178.00,1460.00,1135.00,27.00
E02000021,550.00,837.00,29.00,610.00,896.00,8.00
E02000022,111.00,372.00,202.00,1375.00,729.00,8.00
E02000023,194.00,603.00,48.00,1283.00,530.00,5.00
E02006799,537.00,1101.00,75.00,1188.00,981.00,8.00
E02000024,1640.00,1383.00,37.00,337.00,1077.00,1.00
E02000025,1061.00,1079.00,33.00,545.00,1025.00,2.00
E02000026,961.00,835.00,21.00,145.00,549.00,0.00
E02000027,908.00,1062.00,74.00,1067.00,570.00,4.00
E02000028,871.00,852.00,9.00,146.00,811.00,5.00
E02000029,930.00,1169.00,12.00,342.00,1251.00,2.00
E02000030,1417.00,1218.00,9.00,395.00,480.00,0.00
E02000031,1078.00,1127.00,104.00,200.00,817.00,1.00
E02000032,1154.00,1095.00,11.00,95.00,389.00,0.00
E02000033,1087.00,1103.00,66.00,467.00,771.00,0.00
E02000034,1044.00,1094.00,59.00,338.00,1052.00,1.00
E02000035,971.00,810.00,20.00,357.00,1370.00,2.00
E02000036,1128.00,1248.00,40.00,499.00,1030.00,1.00
E02000037,1133.00,1203.00,110.00,511.00,757.00,3.00
E02000038,1112.00,1263.00,13.00,402.00,1211.00,4.00
E02000039,850.00,950.00,4.00,114.00,753.00,0.00
E02000040,936.00,1221.00,70.00,622.00,659.00,2.00
E02000041,937.00,816.00,20.00,363.00,1190.00,1.00
E02000042,1186.00,1042.00,14.00,321.00,2149.00,5.00
E02000043,985.00,882.00,9.00,59.00,730.00,1.00
E02000044,576.00,770.00,48.00,845.00,828.00,3.00
E02000045,905.00,1080.00,34.00,892.00,1281.00,10.00
E02000046,685.00,643.00,16.00,109.00,1426.00,0.00
E02000047,696.00,822.00,52.00,1307.00,1323.00,10.00
E02000048,1242.00,1286.00,10.00,209.00,1203.00,0.00
E02000049,278.00,743.00,144.00,1924.00,698.00,15.00
E02000050,938.00,977.00,46.00,1012.00,1047.00,14.00
E02000051,1234.00,851.00,8.00,204.00,1494.00,1.00
E02000052,1069.00,1057.00,14.00,676.00,1370.00,6.00
E02000054,664.00,711.00,24.00,185.00,1387.00,0.00
E02000055,915.00,794.00,14.00,544.00,2234.00,2.00
E02000056,1289.00,1055.00,13.00,208.00,876.00,0.00
E02000057,624.00,611.00,5.00,212.00,1252.00,1.00
E02000058,1349.00,953.00,10.00,239.00,1543.00,3.00
E02000059,875.00,1050.00,39.00,720.00,1746.00,4.00
E02000060,911.00,754.00,17.00,311.00,1702.00,1.00
E02000061,908.00,680.00,14.00,130.00,1837.00,4.00
E02000062,416.00,380.00,30.00,716.00,1065.00,7.00
E02000063,700.00,557.00,23.00,223.00,1329.00,2.00
E02000064,527.00,587.00,27.00,685.00,930.00,6.00
E02006953,321.00,777.00,153.00,594.00,2003.00,9.00
E02006954,576.00,732.00,154.00,763.00,1491.00,4.00
E02000065,375.00,807.00,15.00,802.00,759.00,18.00
E02000066,536.00,569.00,11.00,1739.00,680.00,12.00
E02000067,791.00,1187.00,24.00,804.00,1172.00,5.00
E02000068,512.00,809.00,160.00,942.00,768.00,3.00
E02000069,819.00,1015.00,83.00,405.00,487.00,2.00
E02000070,1312.00,1113.00,40.00,253.00,422.00,0.00
E02000071,973.00,1027.00,14.00,409.00,411.00,1.00
E02000072,646.00,1544.00,109.00,1613.00,770.00,6.00
E02000073,1740.00,1701.00,19.00,163.00,332.00,0.00
E02000074,685.00,993.00,136.00,1290.00,394.00,4.00
E02000075,1526.00,1138.00,7.00,180.00,298.00,0.00
E02000077,1043.00,1193.00,16.00,305.00,379.00,2.00
E02000078,1198.00,1328.00,21.00,162.00,312.00,1.00
E02000079,1304.00,1256.00,80.00,205.00,739.00,2.00
E02000080,1454.00,1461.00,53.00,241.00,606.00,0.00
E02000081,1218.00,1166.00,21.00,465.00,409.00,0.00
E02000082,1382.00,1580.00,16.00,80.00,384.00,0.00
E02000083,1126.00,1709.00,79.00,801.00,730.00,2.00
E02000084,1719.00,1806.00,22.00,181.00,470.00,1.00
E02000085,1168.00,1361.00,18.00,123.00,399.00,1.00
E02000086,1227.00,1188.00,14.00,45.00,314.00,0.00
E02000087,1396.00,1252.00,35.00,166.00,468.00,2.00
E02000088,1272.00,1315.00,12.00,115.00,267.00,0.00
E02000089,1216.00,1291.00,9.00,156.00,231.00,2.00
E02000090,1342.00,1361.00,77.00,419.00,994.00,0.00
E02000091,1648.00,1331.00,73.00,655.00,740.00,0.00
E02000092,697.00,765.00,71.00,873.00,308.00,0.00
E02006785,886.00,941.00,25.00,385.00,336.00,1.00
E02000093,1177.00,902.00,106.00,387.00,1167.00,2.00
E02000094,833.00,958.00,122.00,522.00,1029.00,4.00
E02000095,1052.00,680.00,22.00,361.00,1065.00,3.00
E02000096,1035.00,737.00,12.00,108.00,605.00,1.00
E02000097,931.00,791.00,16.00,310.00,989.00,1.00
E02000098,703.00,622.00,28.00,643.00,877.00,2.00
E02000099,722.00,578.00,30.00,400.00,1185.00,2.00
E02000100,975.00,718.00,21.00,267.00,585.00,0.00
E02000101,650.00,567.00,42.00,1039.00,1083.00,6.00
E02000102,621.00,356.00,86.00,607.00,1007.00,4.00
E02000103,775.00,573.00,74.00,891.00,1140.00,9.00
E02000104,674.00,542.00,62.00,370.00,765.00,2.00
E02000105,699.00,660.00,39.00,419.00,1289.00,3.00
E02000106,737.00,475.00,31.00,666.00,1673.00,4.00
E02000107,743.00,690.00,57.00,811.00,2052.00,9.00
E02000108,555.00,598.00,65.00,299.00,756.00,2.00
E02000110,743.00,605.00,30.00,657.00,1055.00,4.00
E02000111,699.00,604.00,33.00,450.00,1398.00,2.00
E02000112,857.00,532.00,85.00,424.00,1596.00,2.00
E02000113,348.00,297.00,34.00,1916.00,683.00,11.00
E02000114,570.00,521.00,55.00,753.00,1800.00,6.00
E02000115,542.00,609.00,39.00,1018.00,1661.00,7.00
E02000116,340.00,334.00,103.00,1101.00,1346.00,13.00
E02000117,452.00,537.00,156.00,2222.00,1385.00,7.00
E02000118,710.00,745.00,34.00,550.00,1115.00,1.00
E02000119,197.00,437.00,211.00,2123.00,969.00,15.00
E02000120,580.00,736.00,30.00,1011.00,1881.00,5.00
E02000121,784.00,683.00,192.00,507.00,1459.00,2.00
E02000122,818.00,847.00,33.00,570.00,887.00,5.00
E02000123,560.00,670.00,84.00,1921.00,2290.00,13.00
E02000124,827.00,958.00,34.00,847.00,1493.00,1.00
