MSOA21CD,Houses,Flats,Other
E02000002,1723,1099,48
E02000003,2654,998,277
E02000004,1983,269,57
E02000005,3115,368,145
E02000007,2172,1436,69
E02000008,3902,554,168
E02000009,2860,1204,190
E02000010,2875,358,93
E02000011,1734,523,96
E02000012,2543,690,56
E02000013,2806,333,113
E02000014,3034,236,118
E02000015,1425,1511,97
E02000016,642,3002,166
E02000017,2033,528,204
E02000018,2525,621,87
E02000019,2857,318,31
E02000020,2808,1732,133
E02000021,2340,438,151
E02000022,303,2448,45
E02000023,1278,1336,49
E02006799,3250,449,189
E02000024,2949,1056,471
E02000025,1837,1563,344
E02000026,1891,476,145
E02000027,2532,1014,140
E02000028,1434,1022,236
E02000029,2041,1239,427
E02000030,2983,346,191
E02000031,1980,1151,196
E02000032,2580,111,53
E02000033,2414,906,174
E02000034,1797,1400,389
E02000035,1487,1691,351
E02000036,2646,1093,206
E02000037,2504,1140,73
E02000038,2103,1149,750
E02000039,1692,628,354
E02000040,1926,1386,197
E02000041,2139,820,365
E02000042,1728,2000,990
E02000043,2050,311,305
E02000044,2196,624,250
E02000045,1987,1814,401
E02000046,1190,799,890
E02000047,2432,1610,168
E02000048,2314,1308,327
E02000049,1281,2451,70
E02000050,1982,1552,501
E02000051,1363,1842,589
E02000052,1616,1814,759
E02000054,1303,1168,499
E02000055,1500,2152,854
E02000056,2157,1096,189
E02000057,1431,930,344
E02000058,2429,1070,598
E02000059,1885,2061,490
E02000060,1913,1020,762
E02000061,1351,1402,820
E02000062,1252,903,460
E02000063,1654,736,444
E02000064,782,1662,317
E02006953,279,3490,86
E02006954,1107,2439,175
E02000065,1885,846,44
E02000066,1885,1630,31
E02000067,2077,1667,237
E02000068,1612,1470,114
E02000069,1831,830,151
E02000070,2581,461,98
E02000071,2452,281,101
E02000072,3197,1414,77
E02000073,3736,147,70
E02000074,2241,1177,84
E02000075,2807,254,86
E02000077,2580,271,85
E02000078,2671,259,91
E02000079,2414,909,264
E02000080,3096,519,199
E02000081,2524,635,120
E02000082,3206,174,65
E02000083,3333,970,140
E02000084,3694,407,99
E02000085,2693,258,121
E02000086,2520,185,83
E02000087,2622,532,164
E02000088,2858,93,31
E02000089,2750,106,50
E02000090,2179,1721,294
E02000091,2526,1729,193
E02000092,1713,905,98
E02006785,2056,470,46
E02000093,2617,928,195
E02000094,1896,1325,244
E02000095,2227,730,225
E02000096,1943,421,130
E02000097,2250,489,301
E02000098,1900,834,141
E02000099,1760,1002,156
E02000100,2022,453,90
E02000101,1355,1778,253
E02000102,1612,672,400
E02000103,1672,1480,310
E02000104,1403,826,184
E02000105,1644,1175,286
E02000106,1741,1125,722
E02000107,1133,1589,1641
E02000108,1326,732,213
E02000110,1512,741,841
E02000111,1643,1217,333
E02000112,1805,1192,499
E02000113,1582,1503,204
E02000114,884,1369,1456
E02000115,393,2104,1380
E02000116,746,1523,968
E02000117,1404,2215,1140
E02000118,1857,985,313
E02000119,1016,2610,326
E02000120,705,1534,2001
E02000121,1603,1738,286
E02000122,1403,973,784
E02000123,1217,2048,2274
E02000124,1264,1312,1585
E02000125,1783,554,1604
E02000126,183,2727,495
E02006955,245,2327,140
E02006956,1550,853,101
E02000127,2831,825,130
E02000128,2417,497,150
E02000130,2017,785,862
E02000131,700,2684,1685
E02000132,1308,3225,410
E02000133,3374,668,286
E02000134,2177,2010,1113
E02000135,1205,2330,909
E02000136,1890,348,56
E02000137,1747,1581,346
E02000138,1619,2203,317
E02000139,2036,717,554
E02000140,2532,726,84
E02000141,1534,898,660
E02000142,2354,798,300
E02000144,2308,1570,433
E02000145,2463,932,119
E02000146,2765,1030,246
E02000147,2337,759,70
E02000148,2284,251,163
E02000149,2791,417,76
E02000150,2697,349,70
E02000151,2725,197,48
E02000152,2174,859,63
E02000153,2839,39,18
E02000154,2528,794,248
E02000155,2764,237,39
E02000156,3894,716,251
E02000157,3083,160,33
E02000158,2485,496,51
E02000159,2480,237,105
E02000160,2501,386,155
E02000161,3125,181,39
E02000162,2396,474,95
E02000163,2812,170,86
E02000165,2442,266,34
E02006782,2608,462,126
E02006787,2559,332,198
E02006789,2319,281,188
E02000166,937,1878,583
E02000167,1146,922,1302
E02000168,890,1131,1473
E02000169,681,1172,1173
E02000170,809,1293,1360
E02000171,744,1187,1402
E02000172,626,2645,764
E02000173,448,1635,1418
E02000174,467,1438,1648
E02000175,512,2163,1630
E02000176,202,1138,1661
E02000177,448,2511,696
E02000178,373,1965,1828
E02000179,435,1419,693
E02000180,529,1779,1207
E02000181,222,1411,2118
E02000182,345,2119,618
E02000183,733,1677,1207
E02000184,436,2469,729
E02000185,229,2998,841
E02000186,406,1590,945
E02000187,124,3422,271
E02000188,96,2481,142
E02000191,97,1573,436
E02000192,149,2272,669
E02000193,94,2393,614
E02007115,208,3479,785
E02000001,100,4273,541
E02000194,1340,1852,1010
E02000195,2526,687,277
E02000196,1924,512,379
E02000197,2401,591,328
E02000198,1774,1069,659
E02000199,2239,458,510
E02000200,1434,1621,947
E02000201,1356,1724,742
E02000202,2419,372,242
E02000203,1581,893,645
E02000204,2281,526,420
E02000206,1911,1574,980
E02000207,2301,859,399
E02000208,1588,1903,607
E02000209,2403,520,140
E02000210,2652,576,215
E02000211,2871,346,78
E02000212,2071,898,294
E02000213,1173,3148,1070
E02000214,1905,208,211
E02000215,1880,2217,1158
E02000216,1343,1538,61
E02000217,2134,2363,521
E02000218,1528,776,45
E02000219,2582,306,95
E02000221,2385,1454,151
E02000222,1916,1057,661
E02000223,1635,1129,25
E02000224,1700,790,781
E02000225,2278,350,30
E02000226,2637,71,73
E02000227,3422,1342,74
E02000228,2548,388,71
E02000229,1589,556,92
E02000230,2470,1471,289
E02000231,2266,331,152
E02000232,2192,144,34
E02000233,1813,488,95
E02000234,2617,883,216
E02000235,2155,431,69
E02000236,3091,138,79
E02000237,2648,318,70
E02006788,2311,510,74
E02006987,173,3095,611
E02006988,663,1801,842
E02000238,2352,1121,263
E02000239,2466,292,172
E02000240,2109,1601,185
E02000241,1783,621,196
E02000242,1804,239,188
E02000243,1963,877,288
E02000244,1880,721,334
E02000245,1252,1972,131
E02000246,1653,1285,133
E02000247,1640,2075,178
E02000248,1247,1361,378
E02000249,1568,1036,309
E02000250,1709,661,172
E02000251,2115,279,149
E02000252,1463,2357,590
E02000253,2104,1536,199
E02000254,2227,207,178
E02000255,1799,1566,423
E02000256,1219,1704,1103
E02000258,1278,592,731
E02000259,1476,509,410
E02000260,1762,654,337
E02000261,1472,2669,834
E02000262,1083,1573,1290
E02000263,2613,646,387
E02000264,1281,1042,1220
E02000265,1752,1867,1115
E02000266,1951,2052,293
E02000267,1780,817,624
E02000268,2114,917,834
E02000269,2027,575,702
E02000270,545,2872,698
E02000271,1711,592,675
E02000272,1946,349,246
E02000275,1271,763,316
E02000276,1378,684,661
E02006791,1139,1336,974
E02006968,1330,1257,973
E02006969,325,1760,891
E02006970,1027,723,276
E02006971,1666,360,197
E02000277,1934,551,142
E02000278,2062,1175,104
E02000279,2551,1634,230
E02000280,2349,863,204
E02000281,2050,1310,189
E02000282,1538,1666,264
E02000283,2398,254,148
E02000284,2119,1173,325
E02000285,2213,178,69
E02000286,1707,2096,198
E02000287,1813,939,121
E02000288,2506,1130,417
E02000289,2240,166,19
E02000290,1035,1353,130
E02000291,1390,2457,483
E02000292,2991,347,234
E02000293,1817,564,111
E02000294,2433,485,168
E02000295,1903,1235,210
E02000296,1669,2148,223
E02000297,2857,473,145
E02000298,2239,392,423
E02000299,2304,697,313
