MSOA21CD,Dwellings
E02000002,2951
E02000003,4111
E02000004,2388
E02000005,3769
E02000007,3797
E02000008,4784
E02000009,4353
E02000010,3417
E02000011,2485
E02000012,3425
E02000013,3328
E02000014,3576
E02000015,3233
E02000016,4042
E02000017,2927
E02000018,3337
E02000019,3324
E02000020,4859
E02000021,3115
E02000022,2931
E02000023,2801
E02006799,4005
E02000024,4627
E02000025,3883
E02000026,2577
E02000027,3768
E02000028,2783
E02000029,3800
E02000030,3671
E02000031,3526
E02000032,2803
E02000033,3577
E02000034,3731
E02000035,3730
E02000036,4071
E02000037,3820
E02000038,4179
E02000039,2841
E02000040,3823
E02000041,3505
E02000042,4943
E02000043,2770
E02000044,3184
E02000045,4304
E02000046,3043
E02000047,4371
E02000048,4149
E02000049,3906
E02000050,4182
E02000051,4066
E02000052,4356
E02000054,3132
E02000055,4806
E02000056,3669
E02000057,2881
E02000058,4338
E02000059,4717
E02000060,3964
E02000061,3837
E02000062,2730
E02000063,3005
E02000064,2953
E02006953,4241
E02006954,3882
E02000065,2924
E02000066,3785
E02000067,4211
E02000068,3470
E02000069,2918
E02000070,3268
E02000071,2927
E02000072,4903
E02000073,4063
E02000074,3609
E02000075,3241
E02000077,3011
E02000078,3115
E02000079,3821
E02000080,3962
E02000081,3371
E02000082,3529
E02000083,4648
E02000084,4330
E02000085,3189
E02000086,2866
E02000087,3451
E02000088,3050
E02000089,2987
E02000090,4435
E02000091,4723
E02000092,2811
E02006785,2690
E02000093,3906
E02000094,3698
E02000095,3315
E02000096,2600
E02000097,3132
E02000098,2980
E02000099,3002
E02000100,2636
E02000101,3498
E02000102,2833
E02000103,3596
E02000104,2527
E02000105,3240
E02000106,3796
E02000107,4701
E02000108,2360
E02000110,3229
E02000111,3338
E02000112,3814
E02000113,3581
E02000114,3931
E02000115,4165
E02000116,3438
E02000117,5145
E02000118,3341
E02000119,4360
E02000120,4657
E02000121,3806
E02000122,3331
E02000123,6152
E02000124,4555
E02000125,4173
E02000126,3768
E02006955,4151
E02006956,3104
E02000127,3940
E02000128,3175
E02000130,3829
E02000131,5382
E02000132,5279
E02000133,4532
E02000134,5651
E02000135,4777
E02000136,2399
E02000137,3877
E02000138,4377
E02000139,3471
E02000140,3480
E02000141,3300
E02000142,3612
E02000144,4611
E02000145,3648
E02000146,4233
E02000147,3300
E02000148,2837
E02000149,3415
E02000150,3221
E02000151,3057
E02000152,3212
E02000153,2964
E02000154,3747
E02000155,3134
E02000156,5048
E02000157,3375
E02000158,3129
E02000159,2963
E02000160,3135
E02000161,3438
E02000162,3080
E02000163,3174
E02000165,2816
E02006782,3341
E02006787,3196
E02006789,2931
E02000166,3745
E02000167,3929
E02000168,3839
E02000169,3611
E02000170,3965
E02000171,3675
E02000172,4438
E02000173,4157
E02000174,3904
E02000175,4829
E02000176,3478
E02000177,4012
E02000178,4728
E02000179,3040
E02000180,3989
E02000181,4143
E02000182,3671
E02000183,4253
E02000184,4081
E02000185,4531
E02000186,3653
E02000187,4412
E02000188,3086
E02000191,3004
E02000192,3703
E02000193,4786
E02007115,5576
E02000001,7323
E02000194,4536
E02000195,3653
E02000196,2945
E02000197,3532
E02000198,3775
E02000199,3395
E02000200,4255
E02000201,4214
E02000202,3211
E02000203,3354
E02000204,3416
E02000206,4725
E02000207,3790
E02000208,4424
E02000209,3225
E02000210,3589
E02000211,3413
E02000212,3447
E02000213,5734
E02000214,2435
E02000215,5626
E02000216,3114
E02000217,5498
E02000218,2453
E02000219,3105
E02000221,4218
E02000222,3867
E02000223,2894
E02000224,3523
E02000225,2744
E02000226,2873
E02000227,5004
E02000228,3095
E02000229,2422
E02000230,4618
E02000231,2911
E02000232,2468
E02000233,2525
E02000234,3944
E02000235,2751
E02000236,3406
E02000237,3170
E02006788,3032
E02006987,4301
E02006988,3646
E02000238,4069
E02000239,3086
E02000240,4038
E02000241,2705
E02000242,2338
E02000243,3246
E02000244,3075
E02000245,3488
E02000246,3185
E02000247,4035
E02000248,3346
E02000249,3034
E02000250,2642
E02000251,2660
E02000252,4646
E02000253,3966
E02000254,2715
E02000255,3916
E02000256,4236
E02000258,2772
E02000259,2476
E02000260,2999
E02000261,5295
E02000262,4331
E02000263,3975
E02000264,3774
E02000265,5017
E02000266,4767
E02000267,3357
E02000268,4078
E02000269,3503
E02000270,4501
E02000271,3158
E02000272,2649
E02000275,2689
E02000276,2876
E02006791,3643
E02006968,3840
E02006969,3411
E02006970,2216
E02006971,2370
E02000277,2741
E02000278,3488
E02000279,4764
E02000280,3581
E02000281,3800
E02000282,3656
E02000283,2922
E02000284,3809
E02000285,2523
E02000286,4283
E02000287,3153
E02000288,4263
E02000289,2486
E02000290,2725
E02000291,4594
E02000292,3717
E02000293,2573
E02000294,3205
E02000295,3468
E02000296,4351
E02000297,3618
E02000298,3167
E02000299,3582
E02000300,3212
E02000301,4051
E02000302,3250
E02000303,3245
E02000304,3040
E02000305,3706
E02000306,3561
E02000307,3510
E02000308,3471
E02000309,4254
E02000311,3844
E02000312,4867
E02006793,3576
E02000313,2647
E02000314,4705
E02000315,3655
E02000317,3082
E02000318,3731
E02000319,4122
E02000320,2648
E02000321,3111
E02000323,5103
E02000324,2992
E02000326,3183
E02000327,2943
E02000328,3177
E02000329,2533
E02000331,3351
E02000332,3172
E02000333,3123
E02000334,2661
E02000335,2672
E02000337,3165
E02000339,2693
E02000340,3207
E02000341,3073
E02000342,2438
E02000343,2791
E02000344,2540
E02006786,2999
E02006927,5377
E02006928,5639
E02006930,4603
E02006931,4433
E02006991,3579
E02006992,4157
E02006993,4142
E02006994,3570
E02000345,3032
E02000346,4566
E02000347,2993
E02000348,3101
E02000350,4017
E02000351,4567
E02000352,2856
E02000353,3454
E02000354,4316
E02000355,3538
E02000356,3268
E02000357,2861
E02000358,5248
E02000359,2611
E02000360,5190
E02000361,4052
E02000362,3009
E02000363,4625
E02000364,4460
E02000366,3743
E02000367,4946
E02000368,4354
E02000369,6402
E02000370,4367
E02006918,3453
E02006921,3083
E02007108,3096
E02007109,3663
E02007110,3959
E02007111,3513
E02000372,4580
E02000373,2651
E02000374,2799
E02000375,4050
E02000376,3616
E02000377,3892
E02000378,3697
E02000379,3352
E02000380,2817
E02000381,4094
E02000382,3163
E02000383,4886
E02000384,4280
E02000385,3308
E02000386,3916
E02000387,2850
E02000388,4845
E02000389,4209
E02000390,3014
E02000391,3739
E02000392,4447
E02000393,2844
E02000394,5696
E02000395,3070
E02000396,3079
E02000397,3682
E02000398,3150
E02000400,3248
E02000401,2597
E02000402,2546
E02000403,3231
E02000404,2839
E02000405,2562
E02000406,2763
E02000407,3323
E02000408,3181
E02000409,2522
E02000410,2824
E02000411,4224
E02000412,3131
E02000413,3095
E02000414,2974
E02000415,3019
E02000416,4144
E02000417,3120
E02000418,2334
E02000419,3992
E02000420,3852
E02000421,3401
E02000422,3131
E02000423,2826
E02000424,3206
E02000425,2388
E02000426,3008
E02000427,3090
E02000428,3156
E02000429,3480
E02000430,3617
E02000431,3233
E02000432,3060
E02006794,3376
E02000433,3985
E02000434,3857
E02000435,2955
E02000436,2124
E02000437,3212
E02000438,3163
E02000439,3227
E02000440,3171
E02000441,2944
E02000442,2779
E02000443,3736
E02000444,2767
E02000445,4032
E02000447,2827
E02000448,2928
E02000449,2612
E02000451,2424
E02000452,3742
E02000453,3242
E02000454,2597
E02000455,5354
E02000456,2800
E02000457,2759
E02000459,3604
E02000460,2536
E02000461,2766
E02000462,2410
E02000463,2905
E02006795,2730
E02006882,4607
E02000464,3041
E02000465,3646
E02000466,3421
E02000467,4556
E02000468,3297
E02000469,2816
E02000470,4331
E02000471,3041
E02000472,3670
E02000473,4190
E02000474,3738
E02000475,4243
E02000476,4653
E02000477,3858
E02000478,2244
E02000479,4107
E02000480,5325
E02000481,3387
E02000482,2674
E02000483,3680
E02000484,3376
E02000485,3600
E02000486,3113
E02000487,3063
E02000488,3119
E02000489,3413
E02000490,3351
E02000491,4191
E02000492,2758
E02000493,2652
E02000494,3402
E02000495,4624
E02000496,3298
E02000497,3849
E02000498,2739
E02000499,3156
E02000500,3477
E02000501,3401
E02000502,3691
E02000503,3346
E02000504,3047
E02000506,3099
E02000507,2896
E02000508,4682
E02000509,3809
E02000510,3418
E02000511,3364
E02000512,3258
E02000513,3454
E02000514,3305
E02000515,5780
E02000516,2934
E02000517,3456
E02000518,3484
E02000519,3160
E02000520,4904
E02000521,4601
E02000522,3701
E02000523,3947
E02000524,2920
E02000525,3537
E02006796,3735
E02000526,3902
E02000529,3141
E02000530,2604
E02000531,5335
E02000532,4061
E02000533,3922
E02000534,3136
E02000535,3106
E02000536,3358
E02000537,3262
E02000538,3136
E02000539,4897
E02000540,4874
E02000541,3395
E02000542,4167
E02000543,5219
E02000544,3007
E02000545,3704
E02000546,3247
E02000547,3968
E02000548,3836
E02000549,4298
E02000550,3838
E02000551,3512
E02000552,3446
E02000553,2689
E02006792,4461
E02006972,2661
E02006973,3952
E02000554,4541
E02000555,4300
E02000556,5430
E02000557,4591
E02000558,4258
E02000559,4276
E02000560,3718
E02000561,3379
E02000562,3836
E02000563,4159
E02000564,6262
E02000565,3793
E02000566,4151
E02000567,5344
E02000568,4984
E02000569,5085
E02000570,4470
E02000571,4422
E02000572,3814
E02000573,5746
E02000574,4288
E02000575,6198
E02000576,5849
E02000577,3535
E02000578,2479
E02000579,4259
E02000580,4721
E02000581,3310
E02000582,4181
E02000583,3807
E02000584,4598
E02000585,4355
E02000586,4624
E02000587,4078
E02000588,5753
E02000589,5100
E02000590,4685
E02000591,4527
E02000592,4355
E02000593,4604
E02000594,4336
E02000595,4266
E02000596,4039
E02000597,3614
E02000598,3093
E02000599,2538
E02000600,3564
E02000601,5294
E02000602,4380
E02000603,3061
E02000604,3706
E02000605,3230
E02000606,5185
E02000607,2669
E02000608,3593
E02000609,2821
E02000610,4076
E02000611,2721
E02000612,3173
E02000613,3335
E02000614,3538
E02000615,3032
E02000616,2456
E02000617,3420
E02000619,4490
E02000620,5335
E02000621,7265
E02000622,3839
E02000623,3558
E02000624,4493
E02000625,4034
E02000626,3611
E02000627,4173
E02000628,4720
E02000629,4374
E02000630,3720
E02000631,4087
E02000632,4545
E02000633,4211
E02000634,3323
E02000635,4521
E02000636,3385
E02000637,4060
E02000638,4375
E02000639,4096
E02000640,4038
E02000641,3618
E02000642,4381
E02000643,4200
E02000644,3741
E02000645,4356
E02000646,4107
E02000647,3652
E02000648,3386
E02000649,5618
E02000650,3627
E02000651,3698
E02000652,2671
E02006801,5100
E02000653,5714
E02000654,3895
E02000655,4277
E02000657,4453
E02000658,3765
E02000659,3796
E02000660,3902
E02000661,3311
E02000662,3495
E02000663,3040
E02000665,3618
E02000666,2917
E02000667,2698
E02000668,2868
E02000669,3630
E02000670,3049
E02000671,3914
E02000672,4564
E02000673,3733
E02000674,3232
E02000675,3614
E02000676,3407
E02000677,2893
E02000678,2727
E02000679,3545
E02000680,3201
E02000681,3553
E02000682,3417
E02000683,2909
E02000685,3671
E02000686,3225
E02000687,3735
E02006783,2994
E02006784,3288
E02006798,4092
E02007008,2989
E02007009,4318
E02000689,3730
E02000690,2439
E02000691,3148
E02000692,4018
E02000693,4634
E02000694,4107
E02000695,3111
E02000696,3442
E02000697,3961
E02000698,3472
E02000699,3484
E02000700,3514
E02000701,3265
E02000702,3563
E02000703,3075
E02000704,3815
E02000705,3279
E02000706,3688
E02000707,2872
E02000708,3407
E02000709,2959
E02000710,3607
E02000711,3619
E02000712,3514
E02000713,2900
E02000714,2796
E02000715,2240
E02000716,2426
E02000717,2567
E02000718,2352
E02000719,3105
E02000720,2297
E02000721,3020
E02000722,3150
E02000723,3007
E02000724,2661
E02000725,4335
E02000727,2430
E02000728,2442
E02000729,2321
E02000730,2725
E02000731,3012
E02000732,2886
E02000733,3709
E02000734,2624
E02000735,2810
E02000736,2754
E02000737,3212
E02000738,2921
E02000739,2609
E02000740,2685
E02000741,2814
E02000742,2660
E02000743,3884
E02000744,3495
E02000745,3066
E02000746,3688
E02000747,6232
E02000748,2292
E02000749,3467
E02006995,3811
E02006996,3768
E02006997,3698
E02006998,2915
E02006999,6126
E02000751,4579
E02000752,3351
E02000753,2539
E02000754,2668
E02000755,2241
E02000756,5400
E02000757,5329
E02000758,2384
E02000759,4980
E02000760,2692
E02000762,2174
E02000763,2649
E02000764,5575
E02000765,2500
E02000767,2829
E02000768,2286
E02000770,2581
E02000772,2663
E02000773,3194
E02000774,2528
E02000776,2191
E02000777,2389
E02000779,3041
E02000781,4557
E02000782,3835
E02000783,2200
E02006800,4668
E02006924,4350
E02006925,4278
E02007017,2846
E02007018,2610
E02007019,2581
E02007020,2800
E02000784,4497
E02000785,4503
E02000786,5240
E02000787,5503
E02000788,3815
E02000789,3092
E02000790,2846
E02000791,3420
E02000792,3330
E02000793,3257
E02000794,2899
E02000795,2739
E02000796,4096
E02000797,3718
E02000798,4456
E02000799,2555
E02000800,2227
E02000801,3360
E02000802,3110
E02000803,4216
E02000804,3335
E02000805,4947
E02000806,4426
E02000807,4164
E02000808,5979
E02000810,5709
E02000812,4981
E02000813,4788
E02000814,5016
E02000815,3590
E02000816,4379
E02000817,3027
E02000818,4880
E02000819,3727
E02000820,4535
E02000821,3314
E02000822,2941
E02000823,3896
E02000824,3978
E02000825,4057
E02000826,4200
E02000827,5261
E02000828,3936
E02000829,5001
E02000830,4046
E02000831,4392
E02000832,4360
E02000833,3151
E02000834,4394
E02000835,3173
E02000836,3579
E02000837,3369
E02000838,4161
E02000839,3656
E02006802,4591
E02006941,3946
E02006942,3789
E02000840,3558
E02000841,3402
E02000842,3067
E02000843,4231
E02000844,3295
E02000845,3741
E02000846,2870
E02000847,3800
E02000848,2986
E02000849,3333
E02000850,4176
E02000851,5376
E02000852,3352
E02000853,3282
E02000854,3174
E02000855,3291
E02000856,3897
E02000857,4251
E02000858,3414
E02000859,3678
E02000860,4348
E02000861,2922
E02000863,2469
