MSOA21CD,not deprived,deprived-1,deprived-2,deprived-3,deprived-4
E02000002,954.00,1085.00,613.00,194.00,24.00
E02000003,1649.00,1467.00,667.00,145.00,2.00
E02000004,1014.00,829.00,365.00,98.00,3.00
E02000005,1544.00,1252.00,620.00,201.00,13.00
E02000007,1335.00,1320.00,739.00,265.00,16.00
E02000008,1546.00,1729.00,1017.00,306.00,26.00
E02000009,1578.00,1600.00,811.00,252.00,13.00
E02000010,1219.00,1241.00,634.00,211.00,22.00
E02000011,904.00,912.00,433.00,90.00,13.00
E02000012,1394.00,1145.00,605.00,134.00,9.00
E02000013,1103.00,1216.00,695.00,225.00,15.00
E02000014,1177.00,1262.00,692.00,245.00,12.00
E02000015,1041.00,1145.00,632.00,202.00,13.00
E02000016,1433.00,1449.00,694.00,214.00,21.00
E02000017,1018.00,1086.00,473.00,180.00,8.00
E02000018,1086.00,1234.00,673.00,231.00,10.00
E02000019,1202.00,1178.00,633.00,187.00,4.00
E02000020,1946.00,1710.00,792.00,217.00,7.00
E02000021,1098.00,1155.00,530.00,138.00,8.00
E02000022,1146.00,1020.00,463.00,153.00,12.00
E02000023,961.00,983.00,520.00,175.00,23.00
E02006799,1428.00,1379.00,787.00,285.00,11.00
E02000024,2505.00,1458.00,430.00,80.00,4.00
E02000025,1800.00,1231.00,538.00,156.00,22.00
E02000026,1392.00,744.00,316.00,51.00,7.00
E02000027,1712.00,1176.00,601.00,183.00,13.00
E02000028,1477.00,841.00,309.00,57.00,8.00
E02000029,1852.00,1186.00,502.00,154.00,13.00
E02000030,2006.00,1037.00,379.00,90.00,7.00
E02000031,1960.00,972.00,322.00,69.00,4.00
E02000032,1499.00,928.00,272.00,44.00,1.00
E02000033,1744.00,1126.00,498.00,117.00,7.00
E02000034,1863.00,1184.00,417.00,115.00,9.00
E02000035,1859.00,1126.00,415.00,114.00,15.00
E02000036,1900.00,1364.00,525.00,148.00,7.00
E02000037,1970.00,1186.00,474.00,81.00,6.00
E02000038,2078.00,1279.00,521.00,117.00,10.00
E02000039,1500.00,856.00,235.00,79.00,6.00
E02000040,1944.00,1011.00,443.00,106.00,7.00
E02000041,1510.00,1160.00,522.00,113.00,21.00
E02000042,2146.00,1619.00,697.00,209.00,46.00
E02000043,1674.00,754.00,200.00,35.00,4.00
E02000044,1222.00,1123.00,540.00,170.00,15.00
E02000045,1952.00,1381.00,661.00,192.00,15.00
E02000046,1513.00,960.00,319.00,77.00,10.00
E02000047,1418.00,1685.00,828.00,266.00,13.00
E02000048,2186.00,1215.00,441.00,95.00,12.00
E02000049,1445.00,1341.00,713.00,271.00,32.00
E02000050,1861.00,1371.00,613.00,179.00,10.00
E02000051,1931.00,1229.00,473.00,132.00,28.00
E02000052,2200.00,1409.00,457.00,117.00,8.00
E02000054,1400.00,986.00,457.00,108.00,20.00
E02000055,1893.00,1713.00,692.00,189.00,21.00
E02000056,2212.00,936.00,252.00,36.00,6.00
E02000057,1298.00,885.00,384.00,111.00,28.00
E02000058,2216.00,1287.00,454.00,125.00,16.00
E02000059,1855.00,1608.00,747.00,207.00,20.00
E02000060,1694.00,1246.00,545.00,165.00,45.00
E02000061,1891.00,1154.00,376.00,110.00,43.00
E02000062,939.00,972.00,496.00,189.00,20.00
E02000063,1237.00,1010.00,423.00,134.00,29.00
E02000064,1323.00,908.00,393.00,121.00,17.00
E02006953,1950.00,1239.00,494.00,157.00,15.00
E02006954,1801.00,1237.00,503.00,150.00,29.00
E02000065,1143.00,1039.00,452.00,132.00,9.00
E02000066,1301.00,1338.00,661.00,228.00,20.00
E02000067,1793.00,1388.00,617.00,167.00,18.00
E02000068,1331.00,1095.00,606.00,149.00,15.00
E02000069,1298.00,1043.00,365.00,96.00,8.00
E02000070,1433.00,1114.00,489.00,97.00,7.00
E02000071,1288.00,1044.00,415.00,82.00,5.00
E02000072,1957.00,1550.00,858.00,299.00,21.00
E02000073,2122.00,1327.00,428.00,74.00,6.00
E02000074,1373.00,1258.00,671.00,186.00,15.00
E02000075,1597.00,1114.00,382.00,52.00,4.00
E02000077,1421.00,981.00,435.00,96.00,3.00
E02000078,1607.00,992.00,357.00,58.00,5.00
E02000079,1858.00,1211.00,433.00,79.00,7.00
E02000080,1890.00,1334.00,504.00,84.00,3.00
E02000081,1589.00,1121.00,461.00,105.00,3.00
E02000082,1920.00,1087.00,379.00,54.00,3.00
E02000083,2166.00,1462.00,654.00,148.00,14.00
E02000084,2297.00,1390.00,445.00,64.00,3.00
E02000085,1553.00,1064.00,386.00,69.00,1.00
E02000086,1542.00,905.00,289.00,50.00,2.00
E02000087,1842.00,1091.00,335.00,48.00,2.00
E02000088,1644.00,938.00,342.00,52.00,4.00
E02000089,1598.00,973.00,276.00,53.00,4.00
E02000090,2229.00,1385.00,475.00,99.00,6.00
E02000091,2165.00,1521.00,631.00,126.00,7.00
E02000092,1122.00,935.00,477.00,170.00,10.00
E02006785,1159.00,925.00,407.00,81.00,1.00
E02000093,1696.00,1398.00,541.00,101.00,4.00
E02000094,1561.00,1220.00,546.00,138.00,2.00
E02000095,1338.00,1220.00,505.00,119.00,3.00
E02000096,1262.00,899.00,298.00,38.00,2.00
E02000097,1242.00,1134.00,527.00,132.00,3.00
E02000098,1178.00,1104.00,445.00,139.00,9.00
E02000099,1243.00,1068.00,467.00,138.00,3.00
E02000100,1299.00,898.00,319.00,51.00,0.00
E02000101,1278.00,1250.00,669.00,177.00,12.00
E02000102,775.00,1079.00,609.00,199.00,24.00
E02000103,1276.00,1323.00,626.00,214.00,23.00
E02000104,969.00,864.00,415.00,145.00,23.00
E02000105,1165.00,1241.00,552.00,140.00,9.00
E02000106,1153.00,1385.00,800.00,227.00,20.00
E02000107,1698.00,1558.00,798.00,272.00,36.00
E02000108,919.00,869.00,387.00,92.00,8.00
E02000110,1324.00,1077.00,540.00,143.00,11.00
E02000111,1069.00,1264.00,674.00,165.00,17.00
E02000112,1256.00,1389.00,715.00,130.00,5.00
E02000113,813.00,1277.00,820.00,345.00,34.00
E02000114,1518.00,1289.00,644.00,235.00,21.00
E02000115,1710.00,1261.00,658.00,199.00,51.00
E02000116,1059.00,1200.00,710.00,249.00,19.00
E02000117,1423.00,1764.00,1088.00,428.00,54.00
E02000118,1058.00,1249.00,662.00,173.00,15.00
E02000119,1405.00,1476.00,778.00,277.00,16.00
E02000120,1993.00,1390.00,613.00,220.00,24.00
E02000121,1287.00,1488.00,659.00,176.00,17.00
E02000122,1603.00,993.00,410.00,144.00,10.00
E02000123,1783.00,2139.00,1185.00,371.00,61.00
E02000124,2247.00,1266.00,494.00,141.00,14.00
E02000125,1909.00,1269.00,551.00,199.00,14.00
